Film,Movie.Genre,Award,Year_of_Release,IMDB_Votes,IMDB.Rating,Movie.Time
Chinatown,"Drama,Mystery,Thriller",Nominee,1974,308349,8.2,130
The Conversation,"Drama,Mystery,Thriller",Nominee,1974,105312,7.8,113
Lenny,"Biography,Drama",Nominee,1974,15444,7.6,111
The Towering Inferno,"Action,Drama,Thriller",Nominee,1974,41582,7,165
One Flew Over the Cuckoo's Nest,Drama,Winner,1975,950833,8.7,133
Barry Lyndon,"Adventure,Drama,History",Nominee,1975,157491,8.1,185
Dog Day Afternoon,"Biography,Crime,Drama",Nominee,1975,245162,8,125
Jaws,"Adventure,Thriller",Nominee,1975,563056,8,124
Nashville,"Comedy,Drama,Music",Nominee,1975,25084,7.7,160
Rocky,"Drama,Sport",Winner,1976,537813,8.1,120
All the President's Men,"Biography,Drama,History",Nominee,1976,109033,8,138
Bound for Glory,"Biography,Drama,Music",Nominee,1976,4892,7.3,147
Network,Drama,Nominee,1976,151780,8.1,121
Taxi Driver,"Crime,Drama",Nominee,1976,758393,8.2,114
Annie Hall,"Comedy,Romance",Winner,1977,257550,8,93
The Goodbye Girl,"Comedy,Drama,Romance",Nominee,1977,13292,7.4,111
Julia,Drama,Nominee,1977,9219,7.2,117
Star Wars,"Action,Adventure,Fantasy",Nominee,1977,1272908,8.6,121
The Turning Point,"Drama,Romance",Nominee,1977,4457,6.9,119
The Deer Hunter,"Drama,War",Winner,1978,323543,8.1,183
Coming Home,"Drama,Romance,War",Nominee,1978,13023,7.3,127
Heaven Can Wait,"Comedy,Fantasy,Romance",Nominee,1978,19822,6.9,101
Midnight Express,"Biography,Crime,Drama",Nominee,1978,76311,7.6,121
An Unmarried Woman,"Comedy,Drama,Romance",Nominee,1978,5113,7.2,124
Kramer vs. Kramer,Drama,Winner,1979,138582,7.8,105
All That Jazz,"Drama,Music,Musical",Nominee,1979,29674,7.9,123
Apocalypse Now,"Drama,Mystery,War",Nominee,1979,627726,8.4,147
Breaking Away,"Comedy,Drama,Romance",Nominee,1979,22594,7.7,101
Norma Rae,Drama,Nominee,1979,11062,7.3,114
Ordinary People,Drama,Winner,1980,49328,7.7,124
Coal Miner's Daughter,"Biography,Drama,Music",Nominee,1980,17579,7.5,124
The Elephant Man,"Biography,Drama",Nominee,1980,229693,8.1,124
Raging Bull,"Biography,Drama,Sport",Nominee,1980,334550,8.2,129
Tess,"Drama,Romance",Nominee,1979,15999,7.3,186
Chariots of Fire,"Biography,Drama,Sport",Winner,1981,57292,7.2,125
Atlantic City,"Crime,Drama,Romance",Nominee,1980,16039,7.3,104
On Golden Pond,Drama,Nominee,1981,29276,7.6,109
Raiders of the Lost Ark,"Action,Adventure",Nominee,1981,914188,8.4,115
Reds,"Horror,Mystery,Thriller",Nominee,1975,35213,7.6,127
Gandhi,"Biography,Drama,History",Winner,1982,223282,8,191
E.T. the Extra-Terrestrial,"Family,Sci-Fi",Nominee,1982,386073,7.8,115
