"Film","Movie.Genre","IMDB.Rating","Audience.Count","Movie.Time"
"The King's Speech","Biography,Drama,History",8,144575,118
"127 Hours","Biography,Drama",7.5,95883,94
"Black Swan","Drama,Thriller",8,178032,108
"The Fighter","Biography,Drama,Sport",7.8,121498,116
"Inception","Action,Adventure,Sci-Fi",8.8,571078,148
"The Kids Are All Right","Comedy,Drama,Romance",7,63588,106
"The Social Network","Biography,Drama",7.7,204126,120
"Toy Story 3","Animation,Adventure,Comedy",8.2,607537,103
"True Grit","Drama,Western",7.6,158268,110
"Winter's Bone","Drama,Mystery",7.2,51756,100
"The Artist","Comedy,Drama,Romance",7.9,58629,100
"The Descendants","Comedy,Drama",7.3,69968,115
"Extremely Loud & Incredibly Close","Adventure,Drama,Mystery",6.9,NA,129
"The Help","Drama",8,107868,146
"Hugo","Drama,Family,Fantasy",7.5,82865,126
